t,z,V,Mach,alpha,q_total,T_surface,T_bulk,thickness,TPS_failed
0,120000,7800.16,26.4351,0.00641017,811236,300.051,300,0.079998,0
0.01,119999,7800.16,26.4351,0.00642228,811264,300.101,300,0.0799959,0
0.02,119999,7800.16,26.4351,0.00643439,811293,300.152,300,0.0799939,0
0.03,119998,7800.16,26.4351,0.0064465,811322,300.203,300,0.0799919,0
0.04,119998,7800.16,26.4351,0.00645862,811350,300.253,300,0.0799899,0
0.05,119997,7800.16,26.4351,0.00647073,811379,300.304,300,0.0799878,0
0.06,119997,7800.16,26.4351,0.00648284,811408,300.355,300,0.0799858,0
0.07,119996,7800.16,26.4351,0.00649495,811437,300.405,300,0.0799838,0
0.08,119996,7800.16,26.4351,0.00650706,811466,300.456,300,0.0799818,0
0.09,119995,7800.17,26.4351,0.00651917,811495,300.507,300,0.0799797,0
0.1,119995,7800.17,26.4351,0.00653128,811524,300.558,300,0.0799777,0
0.11,119994,7800.17,26.4351,0.0065434,811553,300.608,300,0.0799757,0
0.12,119994,7800.17,26.4351,0.00655551,811583,300.659,300,0.0799736,0
0.13,119993,7800.17,26.4351,0.00656762,811612,300.71,300,0.0799716,0
0.14,119993,7800.17,26.4352,0.00657973,811641,300.76,300,0.0799696,0
0.15,119992,7800.17,26.4352,0.00659184,811670,300.811,300,0.0799676,0
0.16,119992,7800.17,26.4352,0.00660395,811700,300.862,300,0.0799655,0
0.17,119991,7800.17,26.4352,0.00661607,811729,300.913,300,0.0799635,0
0.18,119991,7800.17,26.4352,0.00662818,811759,300.963,300,0.0799615,0
0.19,119990,7800.17,26.4352,0.00664029,811788,301.014,300,0.0799594,0
0.2,119990,7800.17,26.4352,0.0066524,811818,301.065,300,0.0799574,0
0.21,119989,7800.17,26.4352,0.00666451,811848,301.116,300,0.0799554,0
0.22,119989,7800.17,26.4352,0.00667662,811877,301.166,300,0.0799534,0
0.23,119988,7800.17,26.4352,0.00668874,811907,301.217,300,0.0799513,0
0.24,119988,7800.17,26.4352,0.00670085,811937,301.268,300,0.0799493,0
0.25,119987,7800.17,26.4352,0.00671296,811967,301.319,300,0.0799473,0
0.26,119987,7800.17,26.4352,0.00672507,811997,301.369,300,0.0799452,0
0.27,119986,7800.17,26.4352,0.00673718,812027,301.42,300,0.0799432,0
0.28,119986,7800.18,26.4352,0.00674929,812057,301.471,300,0.0799412,0
0.29,119985,7800.18,26.4352,0.00676141,812087,301.522,300,0.0799392,0
0.3,119985,7800.18,26.4352,0.00677352,812117,301.572,300,0.0799371,0
0.31,119984,7800.18,26.4352,0.00678563,812147,301.623,300,0.0799351,0
0.32,119984,7800.18,26.4352,0.00679774,812177,301.674,300,0.0799331,0
0.33,119983,7800.18,26.4352,0.00680985,812208,301.725,300,0.079931,0
0.34,119982,7800.18,26.4352,0.00682196,812238,301.776,300,0.079929,0
0.35,119982,7800.18,26.4352,0.00683408,812269,301.826,300,0.079927,0
0.36,119981,7800.18,26.4352,0.00684619,812299,301.877,300,0.079925,0
0.37,119981,7800.18,26.4352,0.0068583,812329,301.928,300,0.0799229,0
0.38,119980,7800.18,26.4352,0.00687041,812360,301.979,300,0.0799209,0
0.39,119980,7800.18,26.4352,0.00688252,812391,302.029,300,0.0799189,0
0.4,119979,7800.18,26.4352,0.00689463,812421,302.08,300,0.0799168,0
0.41,119979,7800.18,26.4352,0.00690675,812452,302.131,300,0.0799148,0
0.42,119978,7800.18,26.4352,0.00691886,812483,302.182,300,0.0799128,0
0.43,119978,7800.18,26.4352,0.00693097,812514,302.233,300,0.0799107,0
0.44,119977,7800.18,26.4352,0.00694308,812545,302.284,300,0.0799087,0
0.45,119977,7800.18,26.4352,0.00695519,812575,302.334,300,0.0799067,0
0.46,119976,7800.19,26.4352,0.0069673,812606,302.385,300,0.0799046,0
0.47,119975,7800.19,26.4352,0.00697942,812637,302.436,300,0.0799026,0
0.48,119975,7800.19,26.4352,0.00699153,812669,302.487,300,0.0799006,0
0.49,119974,7800.19,26.4352,0.00700364,812700,302.538,300,0.0798986,0
0.5,119974,7800.19,26.4352,0.00701575,812731,302.588,300,0.0798965,0
0.51,119973,7800.19,26.4352,0.00702786,812762,302.639,300,0.0798945,0
0.52,119973,7800.19,26.4352,0.00703997,812793,302.69,300,0.0798925,0
0.53,119972,7800.19,26.4352,0.00705209,812825,302.741,300,0.0798904,0
0.54,119972,7800.19,26.4352,0.0070642,812856,302.792,300,0.0798884,0
0.55,119971,7800.19,26.4352,0.00707631,812888,302.843,300,0.0798864,0
0.56,119971,7800.19,26.4352,0.00708842,812919,302.894,300,0.0798843,0
