t,z,V,Mach,gamma,q_total,T_surface,thickness
0,120000,7800.08,26.4348,0.00448715,797701,300.053,0.149996
0.02,119999,7800.09,26.4349,0.00471137,797760,300.106,0.149992
0.04,119998,7800.09,26.4349,0.00493559,797822,300.159,0.149988
0.06,119998,7800.1,26.4349,0.00515981,797886,300.213,0.149984
0.08,119997,7800.11,26.435,0.00538403,797951,300.266,0.14998
0.1,119996,7800.12,26.435,0.00560825,798019,300.319,0.149976
0.12,119995,7800.13,26.435,0.00583247,798088,300.372,0.149972
0.14,119994,7800.14,26.4351,0.00605669,798160,300.425,0.149968
0.16,119993,7800.15,26.4351,0.00628091,798234,300.479,0.149964
0.18,119992,7800.16,26.4351,0.00650513,798309,300.532,0.14996
0.2,119991,7800.17,26.4352,0.00672935,798387,300.585,0.149956
0.22,119990,7800.19,26.4352,0.00695357,798467,300.638,0.149952
0.24,119989,7800.2,26.4353,0.00717779,798548,300.691,0.149948
0.26,119988,7800.21,26.4353,0.00740201,798632,300.745,0.149944
0.28,119987,7800.22,26.4353,0.00762622,798717,300.798,0.14994
0.3,119985,7800.24,26.4354,0.00785044,798805,300.851,0.149936
0.32,119984,7800.25,26.4354,0.00807466,798895,300.904,0.149932
0.34,119983,7800.27,26.4355,0.00829887,798987,300.958,0.149928
0.36,119981,7800.28,26.4355,0.00852309,799080,301.011,0.149924
0.38,119980,7800.3,26.4356,0.0087473,799176,301.064,0.14992
0.4,119979,7800.31,26.4356,0.00897152,799274,301.118,0.149916
0.42,119977,7800.33,26.4357,0.00919573,799374,301.171,0.149912
0.44,119976,7800.34,26.4357,0.00941994,799475,301.224,0.149908
0.46,119974,7800.36,26.4358,0.00964416,799579,301.277,0.149904
0.48,119973,7800.38,26.4359,0.00986837,799685,301.331,0.1499
0.5,119971,7800.39,26.4359,0.0100926,799793,301.384,0.149896
0.52,119970,7800.41,26.436,0.0103168,799903,301.437,0.149892
0.54,119968,7800.43,26.436,0.010541,800014,301.491,0.149888
0.56,119966,7800.45,26.4361,0.0107652,800128,301.544,0.149884
0.58,119965,7800.47,26.4362,0.0109894,800244,301.597,0.14988
