t,z,V,Mach,gamma,q_conv,q_rad,q_emit,q_net,T_surface,thickness
0,120000,7800.08,26.4348,0.00448715,31728,19.0142,413.37,31333.7,300.002,0.15
0.02,119999,7800.09,26.4349,0.00471137,31729.7,19.0161,413.382,31335.3,300.004,0.15
0.04,119998,7800.09,26.4349,0.00493559,31731.4,19.0181,413.393,31337,300.006,0.15
0.06,119998,7800.1,26.4349,0.00515981,31733.2,19.0202,413.404,31338.8,300.008,0.149999
0.08,119997,7800.11,26.435,0.00538403,31735.1,19.0224,413.416,31340.7,300.01,0.149999
0.1,119996,7800.12,26.435,0.00560825,31737.1,19.0247,413.427,31342.7,300.012,0.149999
0.12,119995,7800.13,26.435,0.00583247,31739.1,19.0271,413.438,31344.7,300.014,0.149999
0.14,119994,7800.14,26.4351,0.00605669,31741.2,19.0295,413.45,31346.8,300.016,0.149999
0.16,119993,7800.15,26.4351,0.00628091,31743.4,19.0321,413.461,31349,300.019,0.149999
0.18,119992,7800.16,26.4351,0.00650513,31745.7,19.0347,413.473,31351.3,300.021,0.149998
0.2,119991,7800.17,26.4352,0.00672935,31748,19.0375,413.484,31353.6,300.023,0.149998
0.22,119990,7800.19,26.4352,0.00695357,31750.5,19.0403,413.495,31356,300.025,0.149998
0.24,119989,7800.2,26.4353,0.00717779,31753,19.0433,413.507,31358.5,300.027,0.149998
0.26,119988,7800.21,26.4353,0.00740201,31755.6,19.0463,413.518,31361.1,300.029,0.149998
0.28,119987,7800.22,26.4353,0.00762622,31758.3,19.0494,413.529,31363.8,300.031,0.149998
0.3,119985,7800.24,26.4354,0.00785044,31761,19.0526,413.541,31366.5,300.033,0.149998
0.32,119984,7800.25,26.4354,0.00807466,31763.9,19.0559,413.552,31369.4,300.035,0.149997
0.34,119983,7800.27,26.4355,0.00829887,31766.8,19.0593,413.564,31372.3,300.037,0.149997
0.36,119981,7800.28,26.4355,0.00852309,31769.8,19.0628,413.575,31375.2,300.039,0.149997
0.38,119980,7800.3,26.4356,0.0087473,31772.8,19.0664,413.586,31378.3,300.041,0.149997
0.4,119979,7800.31,26.4356,0.00897152,31776,19.0701,413.598,31381.4,300.043,0.149997
0.42,119977,7800.33,26.4357,0.00919573,31779.2,19.0738,413.609,31384.7,300.045,0.149997
0.44,119976,7800.34,26.4357,0.00941994,31782.5,19.0777,413.62,31388,300.047,0.149996
0.46,119974,7800.36,26.4358,0.00964416,31785.9,19.0816,413.632,31391.3,300.05,0.149996
0.48,119973,7800.38,26.4359,0.00986837,31789.4,19.0857,413.643,31394.8,300.052,0.149996
0.5,119971,7800.39,26.4359,0.0100926,31792.9,19.0898,413.655,31398.3,300.054,0.149996
0.52,119970,7800.41,26.436,0.0103168,31796.5,19.0941,413.666,31402,300.056,0.149996
0.54,119968,7800.43,26.436,0.010541,31800.2,19.0984,413.677,31405.6,300.058,0.149996
0.56,119966,7800.45,26.4361,0.0107652,31804,19.1028,413.689,31409.4,300.06,0.149996
0.58,119965,7800.47,26.4362,0.0109894,31807.9,19.1073,413.7,31413.3,300.062,0.149995
0.6,119963,7800.49,26.4362,0.0112136,31811.8,19.1119,413.712,31417.2,300.064,0.149995
0.62,119961,7800.51,26.4363,0.0114378,31815.8,19.1166,413.723,31421.2,300.066,0.149995
0.64,119959,7800.53,26.4364,0.011662,31819.9,19.1214,413.734,31425.3,300.068,0.149995
0.66,119957,7800.55,26.4364,0.0118863,31824.1,19.1263,413.746,31429.5,300.07,0.149995
0.68,119955,7800.57,26.4365,0.0121105,31828.4,19.1313,413.757,31433.7,300.072,0.149995
0.7,119954,7800.59,26.4366,0.0123347,31832.7,19.1363,413.769,31438.1,300.074,0.149994
0.72,119952,7800.61,26.4366,0.0125589,31837.1,19.1415,413.78,31442.5,300.076,0.149994
0.74,119950,7800.63,26.4367,0.0127831,31841.6,19.1467,413.791,31447,300.078,0.149994
0.76,119948,7800.65,26.4368,0.0130073,31846.2,19.1521,413.803,31451.6,300.081,0.149994
0.78,119945,7800.68,26.4369,0.0132315,31850.9,19.1575,413.814,31456.2,300.083,0.149994
0.8,119943,7800.7,26.437,0.0134557,31855.6,19.1631,413.826,31460.9,300.085,0.149994
0.82,119941,7800.72,26.437,0.0136799,31860.4,19.1687,413.837,31465.8,300.087,0.149993
0.84,119939,7800.75,26.4371,0.0139041,31865.3,19.1745,413.849,31470.6,300.089,0.149993
0.86,119937,7800.77,26.4372,0.0141283,31870.3,19.1803,413.86,31475.6,300.091,0.149993
0.88,119935,7800.8,26.4373,0.0143525,31875.4,19.1862,413.871,31480.7,300.093,0.149993
0.9,119932,7800.82,26.4374,0.0145767,31880.5,19.1922,413.883,31485.8,300.095,0.149993
0.92,119930,7800.85,26.4375,0.0148009,31885.7,19.1983,413.894,31491,300.097,0.149993
0.94,119928,7800.87,26.4375,0.0150251,31891,19.2045,413.906,31496.3,300.099,0.149993
0.96,119925,7800.9,26.4376,0.0152493,31896.4,19.2108,413.917,31501.7,300.101,0.149992
0.98,119923,7800.93,26.4377,0.0154735,31901.8,19.2172,413.929,31507.1,300.103,0.149992
1,119920,7800.95,26.4378,0.0156977,31907.4,19.2237,413.94,31512.7,300.105,0.149992
1.02,119918,7800.98,26.4379,0.0159219,31913,19.2303,413.951,31518.3,300.107,0.149992
1.04,119915,7801.01,26.438,0.0161461,31918.7,19.2369,413.963,31524,300.11,0.149992
1.06,119913,7801.04,26.4381,0.0163702,31924.5,19.2437,413.974,31529.7,300.112,0.149992
1.08,119910,7801.07,26.4382,0.0165944,31930.3,19.2506,413.986,31535.6,300.114,0.149991
1.1,119908,7801.09,26.4383,0.0168186,31936.3,19.2575,413.997,31541.5,300.116,0.149991
1.12,119905,7801.12,26.4384,0.0170428,31942.3,19.2646,414.009,31547.5,300.118,0.149991
1.14,119902,7801.15,26.4385,0.017267,31948.4,19.2717,414.02,31553.6,300.12,0.149991
1.16,119900,7801.18,26.4386,0.0174912,31954.6,19.279,414.032,31559.8,300.122,0.149991
1.18,119897,7801.21,26.4387,0.0177154,31960.8,19.2863,414.043,31566.1,300.124,0.149991
1.2,119894,7801.25,26.4388,0.0179396,31967.2,19.2938,414.054,31572.4,300.126,0.149991
1.22,119891,7801.28,26.4389,0.0181638,31973.6,19.3013,414.066,31578.8,300.128,0.14999
1.24,119888,7801.31,26.439,0.0183879,31980.1,19.3089,414.077,31585.3,300.13,0.14999
1.26,119885,7801.34,26.4391,0.0186121,31986.7,19.3167,414.089,31591.9,300.132,0.14999
1.28,119883,7801.37,26.4392,0.0188363,31993.3,19.3245,414.1,31598.6,300.134,0.14999
1.3,119880,7801.41,26.4393,0.0190605,32000.1,19.3324,414.112,31605.3,300.137,0.14999
1.32,119877,7801.44,26.4395,0.0192847,32006.9,19.3404,414.123,31612.1,300.139,0.14999
1.34,119874,7801.47,26.4396,0.0195088,32013.8,19.3485,414.135,31619,300.141,0.149989
1.36,119870,7801.51,26.4397,0.019733,32020.8,19.3567,414.146,31626,300.143,0.149989
1.38,119867,7801.54,26.4398,0.0199572,32027.9,19.3651,414.158,31633.1,300.145,0.149989
1.4,119864,7801.58,26.4399,0.0201814,32035,19.3735,414.169,31640.2,300.147,0.149989
1.42,119861,7801.61,26.44,0.0204055,32042.3,19.382,414.181,31647.5,300.149,0.149989
1.44,119858,7801.65,26.4402,0.0206297,32049.6,19.3906,414.192,31654.8,300.151,0.149989
1.46,119855,7801.68,26.4403,0.0208539,32057,19.3993,414.204,31662.2,300.153,0.149989
1.48,119851,7801.72,26.4404,0.0210781,32064.4,19.4081,414.215,31669.6,300.155,0.149988
1.5,119848,7801.76,26.4405,0.0213022,32072,19.4169,414.227,31677.2,300.157,0.149988
1.52,119845,7801.79,26.4407,0.0215264,32079.6,19.4259,414.238,31684.8,300.159,0.149988
1.54,119841,7801.83,26.4408,0.0217506,32087.4,19.435,414.25,31692.5,300.162,0.149988
1.56,119838,7801.87,26.4409,0.0219747,32095.2,19.4442,414.261,31700.3,300.164,0.149988
1.58,119834,7801.91,26.4411,0.0221989,32103,19.4535,414.273,31708.2,300.166,0.149988
1.6,119831,7801.95,26.4412,0.0224231,32111,19.4629,414.284,31716.2,300.168,0.149987
1.62,119827,7801.99,26.4413,0.0226472,32119,19.4724,414.296,31724.2,300.17,0.149987
1.64,119824,7802.03,26.4415,0.0228714,32127.2,19.4819,414.307,31732.3,300.172,0.149987
1.66,119820,7802.07,26.4416,0.0230955,32135.4,19.4916,414.319,31740.6,300.174,0.149987
1.68,119816,7802.11,26.4417,0.0233197,32143.7,19.5014,414.33,31748.8,300.176,0.149987
1.7,119813,7802.15,26.4419,0.0235439,32152,19.5113,414.342,31757.2,300.178,0.149987
1.72,119809,7802.19,26.442,0.023768,32160.5,19.5212,414.353,31765.7,300.18,0.149986
1.74,119805,7802.23,26.4421,0.0239922,32169,19.5313,414.365,31774.2,300.182,0.149986
1.76,119802,7802.27,26.4423,0.0242163,32177.7,19.5415,414.377,31782.8,300.184,0.149986
1.78,119798,7802.32,26.4424,0.0244405,32186.4,19.5518,414.388,31791.5,300.187,0.149986
1.8,119794,7802.36,26.4426,0.0246646,32195.1,19.5621,414.4,31800.3,300.189,0.149986
1.82,119790,7802.4,26.4427,0.0248888,32204,19.5726,414.411,31809.2,300.191,0.149986
1.84,119786,7802.44,26.4429,0.0251129,32213,19.5832,414.423,31818.1,300.193,0.149986
1.86,119782,7802.49,26.443,0.0253371,32222,19.5939,414.434,31827.2,300.195,0.149985
1.88,119778,7802.53,26.4432,0.0255612,32231.1,19.6046,414.446,31836.3,300.197,0.149985
1.9,119774,7802.58,26.4433,0.0257854,32240.3,19.6155,414.457,31845.5,300.199,0.149985
1.92,119770,7802.62,26.4435,0.0260095,32249.6,19.6265,414.469,31854.7,300.201,0.149985
1.94,119766,7802.67,26.4436,0.0262336,32258.9,19.6376,414.481,31864.1,300.203,0.149985
1.96,119762,7802.71,26.4438,0.0264578,32268.4,19.6487,414.492,31873.5,300.205,0.149985
1.98,119758,7802.76,26.4439,0.0266819,32277.9,19.66,414.504,31883.1,300.208,0.149984
2,119754,7802.81,26.4441,0.0269061,32287.5,19.6714,414.515,31892.7,300.21,0.149984
2.02,119749,7802.85,26.4443,0.0271302,32297.2,19.6829,414.527,31902.4,300.212,0.149984
2.04,119745,7802.9,26.4444,0.0273543,32307,19.6945,414.539,31912.2,300.214,0.149984
2.06,119741,7802.95,26.4446,0.0275785,32316.9,19.7061,414.55,31922,300.216,0.149984
2.08,119736,7803,26.4447,0.0278026,32326.8,19.7179,414.562,31932,300.218,0.149984
2.1,119732,7803.05,26.4449,0.0280267,32336.8,19.7298,414.573,31942,300.22,0.149983
2.12,119728,7803.1,26.4451,0.0282508,32346.9,19.7418,414.585,31952.1,300.222,0.149983
2.14,119723,7803.15,26.4452,0.028475,32357.1,19.7539,414.597,31962.3,300.224,0.149983
2.16,119719,7803.2,26.4454,0.0286991,32367.4,19.7661,414.608,31972.6,300.226,0.149983
2.18,119714,7803.25,26.4456,0.0289232,32377.8,19.7784,414.62,31982.9,300.229,0.149983
2.2,119710,7803.3,26.4458,0.0291473,32388.2,19.7908,414.631,31993.4,300.231,0.149983
2.22,119705,7803.35,26.4459,0.0293715,32398.8,19.8033,414.643,32003.9,300.233,0.149983
2.24,119700,7803.4,26.4461,0.0295956,32409.4,19.8159,414.655,32014.5,300.235,0.149982
2.26,119696,7803.45,26.4463,0.0298197,32420.1,19.8286,414.666,32025.2,300.237,0.149982
2.28,119691,7803.5,26.4465,0.0300438,32430.8,19.8415,414.678,32036,300.239,0.149982
2.3,119686,7803.56,26.4466,0.0302679,32441.7,19.8544,414.69,32046.9,300.241,0.149982
2.32,119682,7803.61,26.4468,0.030492,32452.7,19.8674,414.701,32057.8,300.243,0.149982
2.34,119677,7803.66,26.447,0.0307161,32463.7,19.8805,414.713,32068.9,300.245,0.149982
2.36,119672,7803.72,26.4472,0.0309403,32474.8,19.8938,414.725,32080,300.248,0.149981
2.38,119667,7803.77,26.4474,0.0311644,32486,19.9071,414.736,32091.2,300.25,0.149981
2.4,119662,7803.82,26.4475,0.0313885,32497.3,19.9206,414.748,32102.5,300.252,0.149981
2.42,119657,7803.88,26.4477,0.0316126,32508.7,19.9341,414.76,32113.8,300.254,0.149981
2.44,119652,7803.93,26.4479,0.0318367,32520.1,19.9478,414.771,32125.3,300.256,0.149981
2.46,119647,7803.99,26.4481,0.0320608,32531.7,19.9615,414.783,32136.8,300.258,0.149981
2.48,119642,7804.05,26.4483,0.0322849,32543.3,19.9754,414.795,32148.5,300.26,0.14998
2.5,119637,7804.1,26.4485,0.032509,32555,19.9894,414.806,32160.2,300.262,0.14998
2.52,119632,7804.16,26.4487,0.0327331,32566.8,20.0035,414.818,32172,300.264,0.14998
2.54,119627,7804.22,26.4489,0.0329572,32578.7,20.0176,414.83,32183.9,300.267,0.14998
2.56,119622,7804.27,26.4491,0.0331812,32590.7,20.0319,414.841,32195.8,300.269,0.14998
2.58,119617,7804.33,26.4493,0.0334053,32602.7,20.0463,414.853,32207.9,300.271,0.14998
2.6,119611,7804.39,26.4495,0.0336294,32614.8,20.0608,414.865,32220,300.273,0.14998
2.62,119606,7804.45,26.4497,0.0338535,32627.1,20.0755,414.877,32232.3,300.275,0.149979
2.64,119601,7804.51,26.4499,0.0340776,32639.4,20.0902,414.888,32244.6,300.277,0.149979
2.66,119595,7804.57,26.4501,0.0343017,32651.8,20.105,414.9,32257,300.279,0.149979
2.68,119590,7804.63,26.4503,0.0345257,32664.3,20.12,414.912,32269.5,300.281,0.149979
2.7,119585,7804.69,26.4505,0.0347498,32676.8,20.135,414.924,32282,300.284,0.149979
2.72,119579,7804.75,26.4507,0.0349739,32689.5,20.1502,414.935,32294.7,300.286,0.149979
2.74,119574,7804.81,26.4509,0.035198,32702.2,20.1654,414.947,32307.4,300.288,0.149978
2.76,119568,7804.87,26.4511,0.0354221,32715,20.1808,414.959,32320.3,300.29,0.149978
2.78,119563,7804.93,26.4513,0.0356461,32727.9,20.1963,414.971,32333.2,300.292,0.149978
2.8,119557,7805,26.4515,0.0358702,32740.9,20.2119,414.982,32346.2,300.294,0.149978
2.82,119551,7805.06,26.4517,0.0360943,32754,20.2276,414.994,32359.3,300.296,0.149978
2.84,119546,7805.12,26.4519,0.0363183,32767.2,20.2434,415.006,32372.4,300.298,0.149978
2.86,119540,7805.19,26.4522,0.0365424,32780.5,20.2593,415.018,32385.7,300.301,0.149977
2.88,119534,7805.25,26.4524,0.0367664,32793.8,20.2753,415.029,32399,300.303,0.149977
2.9,119528,7805.31,26.4526,0.0369905,32807.2,20.2915,415.041,32412.5,300.305,0.149977
2.92,119523,7805.38,26.4528,0.0372146,32820.7,20.3077,415.053,32426,300.307,0.149977
2.94,119517,7805.44,26.453,0.0374386,32834.4,20.3241,415.065,32439.6,300.309,0.149977
2.96,119511,7805.51,26.4533,0.0376627,32848,20.3406,415.077,32453.3,300.311,0.149977
2.98,119505,7805.58,26.4535,0.0378867,32861.8,20.3572,415.088,32467.1,300.313,0.149976
3,119499,7805.64,26.4537,0.0381108,32875.7,20.3739,415.1,32481,300.316,0.149976
3.02,119493,7805.71,26.4539,0.0383348,32889.6,20.3907,415.112,32494.9,300.318,0.149976
3.04,119487,7805.78,26.4542,0.0385589,32903.7,20.4076,415.124,32509,300.32,0.149976
3.06,119481,7805.84,26.4544,0.0387829,32917.8,20.4246,415.136,32523.1,300.322,0.149976
3.08,119475,7805.91,26.4546,0.0390069,32932,20.4418,415.148,32537.3,300.324,0.149976
3.1,119469,7805.98,26.4548,0.039231,32946.3,20.4591,415.159,32551.6,300.326,0.149976
3.12,119463,7806.05,26.4551,0.039455,32960.7,20.4764,415.171,32566,300.328,0.149975
3.14,119456,7806.12,26.4553,0.039679,32975.2,20.4939,415.183,32580.5,300.331,0.149975
3.16,119450,7806.19,26.4556,0.0399031,32989.8,20.5115,415.195,32595.1,300.333,0.149975
3.18,119444,7806.26,26.4558,0.0401271,33004.5,20.5292,415.207,32609.8,300.335,0.149975
3.2,119438,7806.33,26.456,0.0403511,33019.2,20.5471,415.219,32624.5,300.337,0.149975
3.22,119431,7806.4,26.4563,0.0405752,33034,20.565,415.231,32639.4,300.339,0.149975
3.24,119425,7806.47,26.4565,0.0407992,33049,20.5831,415.242,32654.3,300.341,0.149974
3.26,119419,7806.54,26.4567,0.0410232,33064,20.6013,415.254,32669.3,300.343,0.149974
3.28,119412,7806.61,26.457,0.0412472,33079.1,20.6196,415.266,32684.4,300.346,0.149974
3.3,119406,7806.68,26.4572,0.0414712,33094.3,20.638,415.278,32699.6,300.348,0.149974
3.32,119399,7806.76,26.4575,0.0416953,33109.6,20.6565,415.29,32714.9,300.35,0.149974
3.34,119393,7806.83,26.4577,0.0419193,33124.9,20.6751,415.302,32730.3,300.352,0.149974
3.36,119386,7806.9,26.458,0.0421433,33140.4,20.6939,415.314,32745.8,300.354,0.149973
3.38,119379,7806.98,26.4582,0.0423673,33155.9,20.7128,415.326,32761.3,300.356,0.149973
3.4,119373,7807.05,26.4585,0.0425913,33171.6,20.7318,415.338,32777,300.358,0.149973
3.42,119366,7807.13,26.4587,0.0428153,33187.3,20.7509,415.35,32792.7,300.361,0.149973
3.44,119359,7807.2,26.459,0.0430393,33203.1,20.7701,415.362,32808.5,300.363,0.149973
3.46,119353,7807.28,26.4592,0.0432633,33219,20.7895,415.374,32824.4,300.365,0.149973
3.48,119346,7807.35,26.4595,0.0434873,33235,20.8089,415.385,32840.5,300.367,0.149972
3.5,119339,7807.43,26.4598,0.0437113,33251.1,20.8285,415.397,32856.6,300.369,0.149972
3.52,119332,7807.5,26.46,0.0439353,33267.3,20.8482,415.409,32872.7,300.371,0.149972
3.54,119325,7807.58,26.4603,0.0441593,33283.6,20.868,415.421,32889,300.374,0.149972
3.56,119318,7807.66,26.4605,0.0443832,33299.9,20.888,415.433,32905.4,300.376,0.149972
3.58,119311,7807.74,26.4608,0.0446072,33316.4,20.908,415.445,32921.8,300.378,0.149972
3.6,119304,7807.81,26.4611,0.0448312,33332.9,20.9282,415.457,32938.4,300.38,0.149971
3.62,119297,7807.89,26.4613,0.0450552,33349.6,20.9485,415.469,32955,300.382,0.149971
3.64,119290,7807.97,26.4616,0.0452792,33366.3,20.9689,415.481,32971.8,300.384,0.149971
3.66,119283,7808.05,26.4619,0.0455031,33383.1,20.9895,415.493,32988.6,300.387,0.149971
3.68,119276,7808.13,26.4621,0.0457271,33400,21.0102,415.505,33005.5,300.389,0.149971
3.7,119269,7808.21,26.4624,0.0459511,33417,21.031,415.517,33022.5,300.391,0.149971
3.72,119262,7808.29,26.4627,0.046175,33434.1,21.0519,415.529,33039.6,300.393,0.149971
3.74,119254,7808.37,26.463,0.046399,33451.3,21.0729,415.541,33056.8,300.395,0.14997
3.76,119247,7808.45,26.4632,0.046623,33468.6,21.0941,415.554,33074.1,300.398,0.14997
3.78,119240,7808.53,26.4635,0.0468469,33485.9,21.1153,415.566,33091.5,300.4,0.14997
3.8,119233,7808.62,26.4638,0.0470709,33503.4,21.1367,415.578,33109,300.402,0.14997
3.82,119225,7808.7,26.4641,0.0472948,33520.9,21.1583,415.59,33126.5,300.404,0.14997
3.84,119218,7808.78,26.4643,0.0475188,33538.6,21.1799,415.602,33144.2,300.406,0.14997
3.86,119210,7808.86,26.4646,0.0477427,33556.3,21.2017,415.614,33161.9,300.408,0.149969
3.88,119203,7808.95,26.4649,0.0479667,33574.2,21.2236,415.626,33179.8,300.411,0.149969
3.9,119195,7809.03,26.4652,0.0481906,33592.1,21.2456,415.638,33197.7,300.413,0.149969
