thickness,nose_radius,survived,peak_T,ablated,remaining
0.05,0.5,0,2200.76,0.0306746,0.0193254
0.05,0.75,0,2201.34,0.0306802,0.0193198
0.05,1,0,2201.65,0.0306832,0.0193168
0.05,1.25,0,2201.51,0.0306819,0.0193181
0.08,0.5,0,2201.72,0.049095,0.030905
0.08,0.75,0,2200.34,0.0490738,0.0309262
0.08,1,0,2202.49,0.049107,0.030893
0.08,1.25,0,2201.02,0.0490842,0.0309158
0.1,0.5,0,2201.17,0.0613589,0.0386411
0.1,0.75,0,2201.21,0.0613596,0.0386404
0.1,1,0,2201.74,0.0613699,0.0386301
0.1,1.25,0,2200.77,0.0613511,0.0386489
0.12,0.5,0,2202.01,0.0736507,0.0463493
0.12,0.75,0,2200.5,0.0736156,0.0463844
0.12,1,0,2201.88,0.0736477,0.0463523
0.12,1.25,0,2201.4,0.0736366,0.0463634
0.15,0.5,0,2203.06,0.092095,0.057905
0.15,0.75,0,2200.18,0.0920113,0.0579887
0.15,1,0,2202.82,0.092088,0.057912
0.15,1.25,0,2203.1,0.092096,0.057904
