nose_radius,thickness,survived,peak_T,ablated,remaining
0.5,0.08,0,2280.64,0.0504239,0.0295761
0.5,0.1,0,2467.52,0.0681862,0.0318138
0.5,0.12,0,5607.44,0.12,0
0.5,0.15,0,3823.48,0.15,0
0.5,0.18,0,2946.92,0.163319,0.0166811
0.75,0.08,0,2744.79,0.0586984,0.0213016
0.75,0.1,0,3748.89,0.0987438,0.00125621
0.75,0.12,0,2832.45,0.0988706,0.0211294
0.75,0.15,0,87139.6,0.15,0
0.75,0.18,0,55294.6,0.18,0
1,0.08,0,2530.65,0.0563346,0.0236654
1,0.1,0,5697.24,0.1,0
1,0.12,0,3729.67,0.12,0
1,0.15,0,2633.05,0.125107,0.0248928
1,0.18,0,401777,0.18,0
1.25,0.08,0,2503.54,0.0567709,0.0232291
1.25,0.1,0,8621.41,0.1,0
1.25,0.12,0,5749.81,0.12,0
1.25,0.15,0,3922.01,0.15,0
1.25,0.18,0,3099.36,0.18,0
