x,q_wall,tps_remaining,T_structure,thermal_stress
0.000000,18767259.350714,0.000000,686.157600,621713735.692370
0.080000,18767259.350714,0.000000,686.157600,621713735.692370
0.160000,18767259.350714,0.000000,686.157600,621713735.692370
0.240000,18767259.350714,0.000000,686.157600,621713735.692370
0.320000,18767259.350714,0.000000,686.157600,621713735.692370
0.400000,18767259.350714,0.000000,686.157600,621713735.692370
0.480000,18767259.350714,0.000000,686.157600,621713735.692370
0.560000,18767259.350714,0.000000,686.157600,621713735.692370
0.640000,18767259.350714,0.000000,686.157600,621713735.692370
0.720000,18767259.350714,0.000000,686.157600,621713735.692370
0.800000,18767259.350714,0.000000,686.157600,621713735.692370
0.880000,18767259.350714,0.000000,686.157600,621713735.692370
0.960000,18767259.350714,0.000000,686.157600,621713735.692370
1.040000,18767259.350714,0.000000,686.157600,621713735.692370
1.120000,18767259.350714,0.000000,686.157600,621713735.692370
1.200000,18767259.350714,0.000000,686.157600,621713735.692370
1.280000,18767259.350714,0.000000,686.157600,621713735.692370
1.360000,18767259.350714,0.000000,686.157600,621713735.692370
1.440000,18767259.350714,0.002271,686.157600,621713735.692370
1.520000,18767259.350714,0.009249,686.157600,621713735.692370
1.600000,18767259.350714,0.015695,686.157600,621713735.692370
1.680000,18767259.350714,0.021664,686.157600,621713735.692370
1.760000,18767259.350714,0.027203,686.157600,621713735.692370
1.840000,18767259.350714,0.032354,686.157600,621713735.692370
1.920000,18767259.350714,0.037156,686.157600,621713735.692370
2.000000,18767259.350714,0.041639,686.157600,621713735.692370
2.080000,18767259.350714,0.045833,686.157600,621713735.692370
2.160000,18767259.350714,0.049764,686.157600,621713735.692370
2.240000,18767259.350714,0.053453,686.157600,621713735.692370
2.320000,18767259.350714,0.056922,686.157600,621713735.692370
2.400000,18767259.350714,0.060187,686.157600,621713735.692370
2.480000,18767259.350714,0.063266,686.157600,621713735.692370
2.560000,18767259.350714,0.066173,686.157600,621713735.692370
2.640000,18767259.350714,0.068922,686.157600,621713735.692370
2.720000,18767259.350714,0.071523,686.157600,621713735.692370
2.800000,18767259.350714,0.073988,686.157600,621713735.692370
2.880000,18767259.350714,0.076327,686.157600,621713735.692370
2.960000,18767259.350714,0.078548,686.157600,621713735.692370
3.040000,18767259.350714,0.080660,686.157600,621713735.692370
3.120000,18767259.350714,0.082669,686.157600,621713735.692370
3.200000,18767259.350714,0.084584,686.157600,621713735.692370
3.280000,18767259.350714,0.086409,686.157600,621713735.692370
3.360000,18767259.350714,0.088151,686.157600,621713735.692370
3.440000,18767259.350714,0.089815,686.157600,621713735.692370
3.520000,18767259.350714,0.091406,686.157600,621713735.692370
3.600000,18767259.350714,0.092928,686.157600,621713735.692370
3.680000,18767259.350714,0.094385,686.157600,621713735.692370
3.760000,18767259.350714,0.095781,686.157600,621713735.692370
3.840000,18767259.350714,0.097120,686.157600,621713735.692370
3.920000,18767259.350714,0.098404,686.157600,621713735.692370
4.000000,18767259.350714,0.099638,686.157600,621713735.692370
